y,phi,u
0.0,-8.56163e-07,0.0
6.75676e-07,0.000534343,0.00167362
1.35135e-06,0.0124734,0.00321419
2.02703e-06,0.0518071,0.00451344
2.7027e-06,0.0969737,0.00552142
3.37838e-06,0.125129,0.00631031
4.05405e-06,0.143867,0.00695776
4.72973e-06,0.158581,0.00750211
5.40541e-06,0.170956,0.00796323
6.08108e-06,0.181856,0.00835394
6.75676e-06,0.191807,0.00868341
7.43243e-06,0.201261,0.00895854
8.10811e-06,0.210476,0.00918486
8.78378e-06,0.219671,0.00936708
9.45946e-06,0.228958,0.00950944
1.01351e-05,0.238436,0.00961596
1.08108e-05,0.248109,0.0096905
1.14865e-05,0.25796,0.00973684
1.21622e-05,0.265268,0.00975868
1.28378e-05,0.265268,0.00975868
1.35135e-05,0.257959,0.00973683
1.41892e-05,0.248108,0.00969049
1.48649e-05,0.238436,0.00961594
1.55405e-05,0.228959,0.00950942
1.62162e-05,0.219672,0.00936705
1.68919e-05,0.210478,0.00918483
1.75676e-05,0.201264,0.00895851
1.82432e-05,0.191811,0.00868337
1.89189e-05,0.18186,0.0083539
1.95946e-05,0.17096,0.00796319
2.02703e-05,0.158586,0.00750207
2.09459e-05,0.143872,0.00695773
2.16216e-05,0.125135,0.00631029
2.22973e-05,0.0969808,0.00552142
2.2973e-05,0.0518147,0.00451346
2.36486e-05,0.0124768,0.00321422
2.43243e-05,0.000534626,0.00167364
2.5e-05,-8.64909e-07,0.0
