Point ID,LiftF_0,LiftF_1,LiftF_2,LiftF_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,u,v,U_2,U_Magnitude,arc_length,phi,gammadot,p,vtkValidPointMask
0,2.76871e-06,-0.26192,0,0.26192,0.0049,-3.145e-05,1e-05,0.00490011,3.35264e-05,-1.71517e-07,0,3.35268e-05,0,-2.72378e-06,690.297,0.318311,1
1,1.55373e-07,-0.0147013,0,0.0147013,0.0049,-2.975e-05,1e-05,0.0049001,0.00117308,-5.96746e-06,0,0.0011731,1.7e-06,8.90012e-06,652.15,0.318339,1
2,-6.88601e-13,-1.03877e-10,-7.04952e-27,1.0388e-10,0.0049,-2.805e-05,1e-05,0.00490009,0.00224642,-1.59626e-06,-2.2632e-20,0.00224642,3.4e-06,-8.37451e-06,614.374,0.318336,1
3,5.68276e-13,3.84457e-10,-9.55543e-27,3.84457e-10,0.0049,-2.635e-05,1e-05,0.00490008,0.0032562,-5.16014e-07,-2.03831e-20,0.0032562,5.1e-06,9.85276e-06,576.774,0.318332,1
4,1.18832e-10,2.5637e-10,4.92243e-27,2.82572e-10,0.0049,-2.465e-05,1e-05,0.00490007,0.0042028,-7.89429e-07,1.05377e-20,0.0042028,6.8e-06,-6.95926e-06,539.257,0.318331,1
5,-1.9863e-09,4.70528e-09,8.91954e-27,5.10735e-09,0.0049,-2.295e-05,1e-05,0.00490006,0.00508633,-1.29139e-06,2.17761e-20,0.00508633,8.5e-06,3.90302e-05,501.176,0.31833,1
6,-6.73045e-08,1.83209e-07,4.20556e-24,1.9518e-07,0.0049,-2.125e-05,1e-05,0.00490006,0.00590494,-1.7636e-06,-1.65745e-21,0.00590494,1.02e-05,0.00181099,458.444,0.31833,1
7,-3.62033e-07,1.10867e-06,1.55723e-23,1.16629e-06,0.0049,-1.955e-05,1e-05,0.00490005,0.00664544,-2.37798e-06,-2.71202e-20,0.00664544,1.19e-05,0.0153935,403.44,0.318329,1
8,-8.29491e-07,2.63418e-06,2.84096e-23,2.76169e-06,0.0049,-1.785e-05,1e-05,0.00490004,0.00727972,-3.19777e-06,-3.23954e-20,0.00727972,1.36e-05,0.0536822,333.737,0.318326,1
9,-1.05694e-06,3.58621e-06,2.93423e-23,3.73872e-06,0.0049,-1.615e-05,1e-05,0.00490004,0.007784,-3.8704e-06,-2.10539e-20,0.007784,1.53e-05,0.112496,259.189,0.318321,1
10,-7.17928e-07,3.28012e-06,9.22002e-24,3.35776e-06,0.0049,-1.445e-05,1e-05,0.00490003,0.0081644,-4.05067e-06,-5.10862e-22,0.0081644,1.7e-05,0.167482,195.428,0.318315,1
