Point ID,LiftF_0,LiftF_1,LiftF_2,LiftF_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,u,v,U_2,U_Magnitude,arc_length,phi,gammadot,p,vtkValidPointMask
0,nan,nan,nan,nan,0.00506319,1.69344e-05,1e-05,0.00506323,nan,nan,nan,nan,0,0,nan,nan,0
1,-1981.2,2584.76,-1.60438e-15,3256.7,0.00506224,1.79146e-05,1e-05,0.00506229,0.000742241,0.000560211,5.82361e-20,0.000929924,1.36012e-06,0.167668,859.156,0.311303,1
2,-295.381,385.365,-2.31461e-16,485.547,0.0050613,1.88947e-05,1e-05,0.00506135,0.0014828,0.00111941,1.13338e-19,0.0018579,2.71992e-06,0.287689,470.305,0.311204,1
3,-2.5649e-05,3.34626e-05,1.58684e-23,4.21618e-05,0.00506036,1.98749e-05,1e-05,0.00506041,0.001704,0.00130331,3.68283e-20,0.00214528,4.07971e-06,0.376115,302.501,0.311141,1
4,-8.05066e-06,1.0503e-05,4.43916e-23,1.32335e-05,0.00505942,2.08551e-05,1e-05,0.00505947,0.00181455,0.00140727,-6.24715e-20,0.0022963,5.43951e-06,0.457899,182.145,0.311085,1
5,-2.21088e-06,2.8841e-06,7.04884e-23,3.63401e-06,0.00505847,2.18353e-05,1e-05,0.00505853,0.00196517,0.001528,-1.35257e-19,0.00248931,6.79931e-06,0.456074,156.826,0.311124,1
6,-2.70668e-06,3.53082e-06,9.73395e-23,4.44891e-06,0.00505753,2.28154e-05,1e-05,0.00505759,0.00213731,0.00165778,-2.00454e-19,0.00270487,8.1591e-06,0.408721,183.096,0.311213,1
7,-2.94639e-06,3.84346e-06,6.40935e-23,4.84287e-06,0.00505659,2.37956e-05,1e-05,0.00505665,0.00234449,0.00181236,-8.28044e-20,0.00296332,9.51922e-06,0.376466,203.55,0.311292,1
8,-2.90142e-06,3.78475e-06,-3.57217e-23,4.76892e-06,0.00505565,2.47758e-05,1e-05,0.00505572,0.00259081,0.00199462,2.39035e-19,0.00326968,1.0879e-05,0.361079,217.603,0.311361,1
9,-2.78439e-06,3.63202e-06,-9.31463e-23,4.57651e-06,0.0050547,2.5756e-05,1e-05,0.00505478,0.00283331,0.00217745,3.95623e-19,0.00357336,1.22388e-05,0.347552,225.649,0.311418,1
10,-2.49507e-06,3.25457e-06,-5.62607e-23,4.10093e-06,0.00505376,2.67362e-05,1e-05,0.00505384,0.00306744,0.00236195,1.75766e-19,0.00387143,1.35986e-05,0.338468,219.355,0.311447,1
11,-2.21021e-06,2.88294e-06,-1.90415e-23,3.63269e-06,0.00505282,2.77163e-05,1e-05,0.0050529,0.00329871,0.00254417,-2.5949e-20,0.00416585,1.49584e-05,0.329697,212.55,0.311476,1
12,-1.94908e-06,2.54229e-06,2.4627e-23,3.20346e-06,0.00505188,2.86965e-05,1e-05,0.00505197,0.00350966,0.00270912,-1.04274e-19,0.00443363,1.63182e-05,0.323308,201.354,0.311496,1
13,-1.68869e-06,2.20259e-06,6.47147e-23,2.77544e-06,0.00505093,2.96767e-05,1e-05,0.00505103,0.00372063,0.00287438,-1.66625e-19,0.00470161,1.7678e-05,0.316915,190.213,0.311516,1
14,-1.49169e-06,1.948e-06,3.71716e-23,2.45354e-06,0.00504999,3.06569e-05,1e-05,0.00505009,0.00390392,0.00301677,-1.12174e-19,0.00493371,1.90381e-05,0.308936,177.539,0.311534,1
15,-1.29897e-06,1.69916e-06,6.3153e-24,2.1388e-06,0.00504905,3.1637e-05,1e-05,0.00504916,0.00408557,0.00315816,-5.91382e-20,0.0051639,2.03979e-05,0.300859,164.8,0.311551,1
16,-9.62584e-07,1.38931e-06,-1.10055e-19,1.69019e-06,0.00504811,3.26172e-05,1e-05,0.00504822,0.00424381,0.00328006,7.74072e-20,0.00536365,2.17577e-05,0.290572,151.38,0.311567,1
17,-5.82909e-07,1.05427e-06,-2.5974e-19,1.20469e-06,0.00504716,3.35974e-05,1e-05,0.00504728,0.00439502,0.0033964,2.3694e-19,0.00555443,2.31175e-05,0.279616,137.763,0.311582,1
18,-1.92061e-07,6.01159e-07,-3.27472e-19,6.31094e-07,0.00504622,3.45776e-05,1e-05,0.00504635,0.00452669,0.00349675,1.7077e-19,0.00571998,2.44773e-05,0.26551,122.91,0.311597,1
19,2.0731e-07,6.86724e-08,-3.34594e-19,2.18388e-07,0.00504528,3.55577e-05,1e-05,0.00504541,0.0046448,0.00358613,-4.5864e-20,0.00586809,2.58371e-05,0.2492,107.2,0.31161,1
20,4.48064e-07,-3.1807e-07,-2.77029e-19,5.49482e-07,0.00504434,3.65379e-05,1e-05,0.00504448,0.0047465,0.00366236,-3.3749e-19,0.00599517,2.71972e-05,0.229811,89.5435,0.311622,1
21,4.62711e-07,-4.91079e-07,-1.22505e-19,6.7473e-07,0.00504339,3.75181e-05,1e-05,0.00504354,0.00482464,0.00371948,-7.46089e-19,0.00609193,2.8557e-05,0.206026,69.0885,0.311633,1
22,4.69132e-07,-6.11416e-07,4.53612e-23,7.70658e-07,0.00504245,3.84983e-05,1e-05,0.00504261,0.00488951,0.00376641,-7.42154e-19,0.00617196,2.99168e-05,0.180933,52.261,0.311642,1
23,4.45049e-07,-5.80412e-07,-7.13689e-24,7.314e-07,0.00504151,3.94784e-05,1e-05,0.00504167,0.00491054,0.00377869,6.39636e-19,0.00619612,3.12766e-05,0.151573,47.1759,0.31165,1
24,4.33689e-07,-5.65942e-07,-5.87717e-23,7.13006e-07,0.00504057,4.04586e-05,1e-05,0.00504074,0.00492688,0.00378765,2.00144e-18,0.00621453,3.26364e-05,0.12236,44.1462,0.311658,1
25,6.37935e-07,-8.32452e-07,-6.90655e-23,1.04878e-06,0.00503962,4.14388e-05,1e-05,0.0050398,0.00486186,0.00373425,2.3447e-18,0.00613044,3.39962e-05,0.0954903,75.5188,0.311664,1
26,8.41852e-07,-1.09853e-06,-7.75312e-23,1.38401e-06,0.00503868,4.2419e-05,1e-05,0.00503887,0.00479728,0.00368125,2.64964e-18,0.00604694,3.5356e-05,0.0686074,106.812,0.31167,1
27,9.4006e-07,-1.22666e-06,-3.57078e-23,1.54545e-06,0.00503774,4.33991e-05,1e-05,0.00503793,0.00463071,0.00355108,1.19914e-18,0.00583556,3.67161e-05,0.0495438,157.236,0.311675,1
28,1.02433e-06,-1.33661e-06,1.35216e-23,1.68398e-06,0.0050368,4.43793e-05,1e-05,0.005037,0.00445094,0.00341064,-5.00391e-19,0.00560743,3.80759e-05,0.0315084,210.217,0.311681,1
29,8.70795e-07,-1.13626e-06,3.30791e-23,1.43156e-06,0.00503585,4.53595e-05,1e-05,0.00503607,0.00417834,0.00320034,-1.16491e-18,0.00526315,3.94357e-05,0.019708,266.006,0.311687,1
30,6.17419e-07,-8.05629e-07,3.85012e-23,1.01501e-06,0.00503491,4.63397e-05,1e-05,0.00503513,0.00386724,0.00296057,-1.36182e-18,0.00487037,4.07955e-05,0.0104987,323.001,0.311694,1
31,3.69994e-07,-4.82777e-07,2.99211e-23,6.08251e-07,0.00503397,4.73198e-05,1e-05,0.0050342,0.00348584,0.00266799,-1.39861e-18,0.00438967,4.21553e-05,0.00466974,379.485,0.3117,1
32,1.29133e-07,-1.68499e-07,1.05304e-23,2.12291e-07,0.00503303,4.83e-05,1e-05,0.00503327,0.00304183,0.00232814,-1.33113e-18,0.00383053,4.35151e-05,0.00185949,435.557,0.311707,1
33,-2.52073e-08,3.28875e-08,-1.83836e-24,4.14366e-08,0.00503208,4.92802e-05,1e-05,0.00503233,0.00255256,0.00195451,-1.1605e-18,0.00321491,4.48752e-05,1.54133e-05,490.905,0.311715,1
34,-2.21126e-08,2.88519e-08,-2.24595e-24,3.6351e-08,0.00503114,5.02604e-05,1e-05,0.0050314,0.00198025,0.00151973,-7.7195e-19,0.00249619,4.6235e-05,-5.8323e-05,544.866,0.311722,1
35,0.163184,-0.212896,-5.08933e-18,0.268242,0.0050302,5.12405e-05,1e-05,0.00503047,0.00138661,0.001067,-4.14158e-19,0.00174962,4.75948e-05,-0.000102526,598.754,0.311728,1
36,1.06519,-1.38968,-3.389e-17,1.75095,0.00502925,5.22207e-05,1e-05,0.00502954,0.00069372,0.00053403,-2.06268e-19,0.000875463,4.89546e-05,-3.27869e-05,651.683,0.311727,1
37,1.92902,-2.51668,-6.26379e-17,3.17093,0.00502831,5.32009e-05,1e-05,0.0050286,1.27891e-07,9.84901e-08,-3.78542e-23,1.6142e-07,5.03144e-05,3.49827e-05,704.882,0.311725,1
