Point ID,LiftF_0,LiftF_1,LiftF_2,LiftF_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,u,v,U_2,U_Magnitude,arc_length,phi,gammadot,p,vtkValidPointMask
0,0,0,0,0,0.005,-3.15e-05,1e-05,0.00500011,-2.76635e-16,1.31605e-16,2.07426e-32,3.06344e-16,0,0.118812,1187.41,0.424184,1
1,0,0,0,0,0.005,-2.97973e-05,1e-05,0.0050001,0.00188842,-0.000776617,-1.30109e-19,0.00204187,1.7027e-06,0.139234,815.928,0.424498,1
2,0,0,0,0,0.005,-2.80946e-05,1e-05,0.00500009,0.00318553,-0.00109802,-1.51816e-19,0.00336946,3.4054e-06,0.147467,593.809,0.424708,1
3,0,0,0,0,0.005,-2.63919e-05,1e-05,0.00500008,0.00421181,-0.00120034,-3.06986e-20,0.00437952,5.10811e-06,0.145625,470.104,0.424904,1
4,0,0,0,0,0.005,-2.46892e-05,1e-05,0.00500007,0.00510616,-0.00119039,9.35742e-21,0.00524308,6.81081e-06,0.14757,388.778,0.425079,1
5,0,0,0,0,0.005,-2.29865e-05,1e-05,0.00500006,0.00584958,-0.00123548,9.47633e-22,0.00597863,8.51351e-06,0.151339,313.835,0.425107,1
6,0,0,0,0,0.005,-2.12838e-05,1e-05,0.00500006,0.0063951,-0.00132769,-6.30544e-21,0.00653146,1.02162e-05,0.156003,257.643,0.425051,1
7,0,0,0,0,0.005,-1.95811e-05,1e-05,0.00500005,0.00683501,-0.00135816,-2.04734e-20,0.00696864,1.19189e-05,0.161345,223.216,0.425039,1
8,0,0,0,0,0.005,-1.78784e-05,1e-05,0.00500004,0.00720589,-0.0013422,-1.8789e-20,0.00732983,1.36216e-05,0.166679,192.463,0.425064,1
9,0,0,0,0,0.005,-1.61757e-05,1e-05,0.00500004,0.0075337,-0.00129493,-3.69399e-22,0.00764418,1.53243e-05,0.172921,160.808,0.425119,1
10,0,0,0,0,0.005,-1.4473e-05,1e-05,0.00500003,0.00782273,-0.00123036,-8.2801e-21,0.0079189,1.7027e-05,0.179549,137.611,0.425188,1
11,0,0,0,0,0.005,-1.27703e-05,1e-05,0.00500003,0.0079375,-0.00116098,-3.69705e-20,0.00802196,1.87297e-05,0.188814,146.793,0.425171,1
12,0,0,0,0,0.005,-1.10676e-05,1e-05,0.00500002,0.00799113,-0.00105407,-2.78496e-20,0.00806034,2.04324e-05,0.197292,160.63,0.425161,1
13,0,0,0,0,0.005,-9.36487e-06,1e-05,0.00500002,0.00799666,-0.000917564,2.00134e-20,0.00804913,2.21351e-05,0.205947,175.815,0.425157,1
14,0,0,0,0,0.005,-7.66216e-06,1e-05,0.00500002,0.00797648,-0.000761838,-6.54064e-22,0.00801278,2.38378e-05,0.212824,187.84,0.425166,1
15,0,0,0,0,0.005,-5.95946e-06,1e-05,0.00500001,0.00795346,-0.000593049,-1.65944e-20,0.00797554,2.55405e-05,0.222721,197.142,0.425212,1
16,0,0,0,0,0.005,-4.25676e-06,1e-05,0.00500001,0.00794565,-0.000415602,-1.76354e-20,0.00795652,2.72432e-05,0.255689,202.216,0.42532,1
17,0,0,0,0,0.005,-2.55405e-06,1e-05,0.00500001,0.00788172,-0.000241475,-2.15873e-20,0.00788541,2.89459e-05,0.321433,206.505,0.425481,1
18,0,0,0,0,0.005,-8.51351e-07,1e-05,0.00500001,0.00786186,-7.10084e-05,-1.80616e-20,0.00786218,3.06486e-05,0.379258,203.894,0.425629,1
19,0,0,0,0,0.005,8.51351e-07,1e-05,0.00500001,0.00786224,9.03803e-05,1.4538e-21,0.00786276,3.23514e-05,0.376018,204.187,0.425622,1
20,0,0,0,0,0.005,2.55405e-06,1e-05,0.00500001,0.00788849,0.000261532,9.94878e-21,0.00789283,3.40541e-05,0.313266,207.298,0.425465,1
21,0,0,0,0,0.005,4.25676e-06,1e-05,0.00500001,0.00795699,0.000437019,-1.98171e-20,0.00796899,3.57568e-05,0.246688,203.495,0.425302,1
22,0,0,0,0,0.005,5.95946e-06,1e-05,0.00500001,0.00797102,0.000614702,-5.1728e-20,0.00799468,3.74595e-05,0.217696,197.862,0.425197,1
23,0,0,0,0,0.005,7.66216e-06,1e-05,0.00500002,0.00799894,0.000782667,-5.3578e-20,0.00803714,3.91622e-05,0.210053,187.861,0.425155,1
24,0,0,0,0,0.005,9.36487e-06,1e-05,0.00500002,0.00802251,0.000937628,-1.2248e-20,0.00807712,4.08649e-05,0.204305,175.407,0.425148,1
