Point ID,LiftF_0,LiftF_1,LiftF_2,LiftF_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,u,v,U_2,U_Magnitude,arc_length,phi,gammadot,p,vtkValidPointMask
0,0,0,0,0,0.0049,-3.145e-05,1e-05,0.00490011,3.44333e-05,-1.98041e-07,0,3.44339e-05,0,0.0857317,748.568,0.429423,1
1,0,0,0,0,0.0049,-2.975e-05,1e-05,0.0049001,0.00120487,-6.91759e-06,0,0.00120489,1.7e-06,0.118698,647.882,0.42946,1
2,0,0,0,0,0.0049,-2.805e-05,1e-05,0.00490009,0.00222522,-9.58299e-07,-2.06452e-20,0.00222523,3.4e-06,0.132968,581.651,0.429453,1
3,0,0,0,0,0.0049,-2.635e-05,1e-05,0.00490008,0.00316961,6.26419e-07,-1.86029e-20,0.00316961,5.1e-06,0.1315,539.304,0.429448,1
4,0,0,0,0,0.0049,-2.465e-05,1e-05,0.00490007,0.0040531,4.51258e-07,9.4845e-21,0.0040531,6.8e-06,0.134476,500.942,0.429447,1
5,0,0,0,0,0.0049,-2.295e-05,1e-05,0.00490006,0.00486945,2.44202e-07,1.95397e-20,0.00486945,8.5e-06,0.138692,460.488,0.429447,1
6,0,0,0,0,0.0049,-2.125e-05,1e-05,0.00490006,0.005616,1.42534e-07,-1.73585e-21,0.005616,1.02e-05,0.144191,419.34,0.429447,1
7,0,0,0,0,0.0049,-1.955e-05,1e-05,0.00490005,0.00629378,-1.6894e-08,-2.5256e-20,0.00629378,1.19e-05,0.149619,378.967,0.429447,1
8,0,0,0,0,0.0049,-1.785e-05,1e-05,0.00490004,0.00690443,-2.7741e-07,-3.24731e-20,0.00690443,1.36e-05,0.155016,339.475,0.429447,1
9,0,0,0,0,0.0049,-1.615e-05,1e-05,0.00490004,0.0074493,-6.01491e-07,-2.35933e-20,0.0074493,1.53e-05,0.161728,300.746,0.429447,1
10,0,0,0,0,0.0049,-1.445e-05,1e-05,0.00490003,0.00792942,-9.02036e-07,2.17478e-21,0.00792942,1.7e-05,0.168035,262.797,0.429448,1
11,0,0,0,0,0.0049,-1.275e-05,1e-05,0.00490003,0.0083464,-1.14859e-06,3.22629e-20,0.0083464,1.87e-05,0.176384,225.689,0.429449,1
12,0,0,0,0,0.0049,-1.105e-05,1e-05,0.00490002,0.0087013,-1.23392e-06,3.27043e-20,0.0087013,2.04e-05,0.184821,189.407,0.42945,1
13,0,0,0,0,0.0049,-9.35e-06,1e-05,0.00490002,0.0089939,-1.18416e-06,4.6256e-20,0.0089939,2.21e-05,0.196339,153.951,0.429451,1
14,0,0,0,0,0.0049,-7.65e-06,1e-05,0.00490002,0.00922344,-1.09474e-06,3.898e-20,0.00922344,2.38e-05,0.211485,120.228,0.429453,1
15,0,0,0,0,0.0049,-5.95e-06,1e-05,0.00490001,0.00939851,-8.11062e-07,1.03146e-20,0.00939851,2.55e-05,0.221949,89.4294,0.429455,1
16,0,0,0,0,0.0049,-4.25e-06,1e-05,0.00490001,0.00952426,-1.30196e-06,1.43584e-20,0.00952426,2.72e-05,0.233723,60.0066,0.429454,1
17,0,0,0,0,0.0049,-2.55e-06,1e-05,0.00490001,0.00960003,-3.3693e-06,1.39142e-20,0.00960003,2.89e-05,0.286611,32.8798,0.429448,1
18,0,0,0,0,0.0049,-8.5e-07,1e-05,0.00490001,0.00963244,-1.70896e-06,-2.08456e-21,0.00963244,3.06e-05,0.346371,15.5699,0.429471,1
19,0,0,0,0,0.0049,8.5e-07,1e-05,0.00490001,0.00963198,2.50278e-06,-9.31854e-21,0.00963198,3.23e-05,0.338985,16.1645,0.429469,1
20,0,0,0,0,0.0049,2.55e-06,1e-05,0.00490001,0.00959744,3.60487e-06,7.83306e-21,0.00959744,3.4e-05,0.274131,34.2206,0.42945,1
21,0,0,0,0,0.0049,4.25e-06,1e-05,0.00490001,0.00951856,1.4929e-06,2.89589e-20,0.00951856,3.57e-05,0.227093,61.408,0.429455,1
22,0,0,0,0,0.0049,5.95e-06,1e-05,0.00490001,0.00939052,1.02397e-06,2.26794e-20,0.00939052,3.74e-05,0.220797,90.4551,0.429455,1
23,0,0,0,0,0.0049,7.65e-06,1e-05,0.00490002,0.00921379,1.25708e-06,5.56959e-21,0.00921379,3.91e-05,0.209493,121.103,0.429453,1
24,0,0,0,0,0.0049,9.35e-06,1e-05,0.00490002,0.00898248,1.27851e-06,2.14532e-20,0.00898248,4.08e-05,0.195442,154.682,0.429451,1
25,0,0,0,0,0.0049,1.105e-05,1e-05,0.00490002,0.00869122,1.33247e-06,1.71521e-20,0.00869122,4.25e-05,0.184481,189.763,0.42945,1
26,0,0,0,0,0.0049,1.275e-05,1e-05,0.00490003,0.00833567,1.23657e-06,1.25206e-21,0.00833567,4.42e-05,0.176565,225.758,0.429449,1
27,0,0,0,0,0.0049,1.445e-05,1e-05,0.00490003,0.00791847,9.68528e-07,-1.05789e-20,0.00791847,4.59e-05,0.168364,262.653,0.429448,1
28,0,0,0,0,0.0049,1.615e-05,1e-05,0.00490004,0.00743846,6.42272e-07,-1.81782e-20,0.00743846,4.76e-05,0.162232,300.439,0.429447,1
29,0,0,0,0,0.0049,1.785e-05,1e-05,0.00490004,0.00689398,2.9246e-07,-2.22666e-20,0.00689398,4.93e-05,0.155539,339.037,0.429447,1
30,0,0,0,0,0.0049,1.955e-05,1e-05,0.00490005,0.00628396,1.10262e-08,-2.17871e-20,0.00628396,5.1e-05,0.150216,378.423,0.429447,1
31,0,0,0,0,0.0049,2.125e-05,1e-05,0.00490006,0.00560701,-1.64456e-07,-1.57611e-20,0.00560701,5.27e-05,0.144752,418.714,0.429447,1
32,0,0,0,0,0.0049,2.295e-05,1e-05,0.00490006,0.00486146,-2.76902e-07,-2.2158e-20,0.00486146,5.44e-05,0.139286,459.781,0.429447,1
33,0,0,0,0,0.0049,2.465e-05,1e-05,0.00490007,0.00404628,-4.92424e-07,-3.53061e-20,0.00404628,5.61e-05,0.13504,500.109,0.429447,1
34,0,0,0,0,0.0049,2.635e-05,1e-05,0.00490008,0.0031643,-6.55461e-07,-2.07887e-20,0.0031643,5.78e-05,0.13219,538.376,0.429448,1
35,0,0,0,0,0.0049,2.805e-05,1e-05,0.00490009,0.00222153,9.68024e-07,2.29655e-20,0.00222153,5.95e-05,0.133501,580.745,0.429452,1
36,0,0,0,0,0.0049,2.975e-05,1e-05,0.0049001,0.00120284,6.9e-06,4.25417e-20,0.00120286,6.12e-05,0.119313,646.93,0.42946,1
37,0,0,0,0,0.0049,3.145e-05,1e-05,0.00490011,3.43749e-05,1.97527e-07,1.31434e-21,3.43755e-05,6.29e-05,0.0862674,747.574,0.429423,1
