Point ID,LiftF_0,LiftF_1,LiftF_2,LiftF_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,u,v,U_2,U_Magnitude,arc_length,phi,gammadot,p,vtkValidPointMask
0,0,0,0,0,0.00504109,8.04151e-10,1e-05,0.0050411,6.92573e-07,1.83288e-07,-7.92712e-23,7.16416e-07,0,0.480678,364.11,0.425161,1
1,0,0,0,0,0.00503998,8.52134e-07,1e-05,0.00503999,0.000618276,0.000194266,-8.45046e-20,0.000648078,1.39936e-06,0.477991,346.81,0.424807,1
2,0,0,0,0,0.00503887,1.70346e-06,1e-05,0.00503888,0.00123586,0.000388349,-1.6893e-19,0.00129544,2.79871e-06,0.475304,329.51,0.424452,1
3,0,0,0,0,0.00503776,2.55479e-06,1e-05,0.00503777,0.00149528,0.000559446,-1.01004e-19,0.0015965,4.19807e-06,0.463646,323.345,0.424267,1
4,0,0,0,0,0.00503665,3.40612e-06,1e-05,0.00503666,0.00167841,0.000725649,-6.29997e-22,0.00182856,5.59743e-06,0.450078,319.551,0.424119,1
5,0,0,0,0,0.00503554,4.25745e-06,1e-05,0.00503555,0.00187531,0.000893013,8.94811e-20,0.00207708,6.99678e-06,0.424704,326.748,0.423951,1
6,0,0,0,0,0.00503443,5.10878e-06,1e-05,0.00503444,0.00207969,0.00106101,1.74015e-19,0.00233471,8.39614e-06,0.392913,339.918,0.423773,1
7,0,0,0,0,0.00503332,5.96011e-06,1e-05,0.00503333,0.00231139,0.00123905,2.51752e-19,0.00262255,9.7955e-06,0.358723,356.428,0.423616,1
8,0,0,0,0,0.00503221,6.81144e-06,1e-05,0.00503222,0.00257371,0.00142836,3.21867e-19,0.0029435,1.11949e-05,0.321841,376.684,0.423482,1
9,0,0,0,0,0.0050311,7.66277e-06,1e-05,0.00503111,0.00285284,0.00162211,2.92598e-19,0.00328176,1.25942e-05,0.288237,394.703,0.423366,1
10,0,0,0,0,0.00502999,8.5141e-06,1e-05,0.00503,0.00317215,0.0018265,2.56302e-20,0.00366041,1.39936e-05,0.262471,407.37,0.423289,1
11,0,0,0,0,0.00502888,9.36543e-06,1e-05,0.00502889,0.00349335,0.00202958,-2.29926e-19,0.00404013,1.53929e-05,0.238396,418.182,0.423218,1
12,0,0,0,0,0.00502777,1.02168e-05,1e-05,0.00502779,0.00382864,0.00222298,-4.00422e-19,0.0044272,1.67923e-05,0.226921,415.168,0.423184,1
13,0,0,0,0,0.00502665,1.10681e-05,1e-05,0.00502668,0.00416393,0.00241639,-5.70919e-19,0.00481427,1.81916e-05,0.215447,412.154,0.423149,1
14,0,0,0,0,0.00502554,1.19194e-05,1e-05,0.00502557,0.00447272,0.00257966,-3.29523e-19,0.00516332,1.9591e-05,0.211015,397.424,0.423137,1
15,0,0,0,0,0.00502443,1.27707e-05,1e-05,0.00502446,0.00477987,0.00274107,-6.26529e-20,0.00551004,2.09904e-05,0.207018,381.968,0.423126,1
16,0,0,0,0,0.00502332,1.36221e-05,1e-05,0.00502335,0.00504734,0.00287193,2.91301e-20,0.0058072,2.23897e-05,0.203723,361.517,0.423125,1
